Scope ID,Family / Capability,V1 Support,Why locked this way,Key Clause IDs / Inputs,Build Notes / UI Notes
SC_001,Standard FSI metadata + document shell,AUTO,"Core V1 target is the normal two-page-plus letter path with the existing top block, fixed branding, hidden H number, archive path, and Word export.",Report_Skeleton FMT_01-FMT_03; META_01-META_10; DT_001-DT_008,Treat this as the default user path. Everything else branches from here.
SC_002,Standard intro paragraph (P1),AUTO,Normal intro is stable and only needs the inspection date inserted.,CL_000; DT_010,This should be the default P1 every time unless a replacement mode is selected.
SC_003,Special intro replacement: frost follow-up inspection,REVIEW,"Huzaifa identified this as a real special mode that replaces the normal intro, but it is not part of the most common path.",CL_044; DT_011,"Keep in V1 scope, but surface it as a clearly labeled special-case path."
SC_004,Administrative correction / letter rewrite,DEFERRED TO V2,Huzaifa explicitly said rare correction letters can be done brute-force by hand for now.,CL_001; DT_012,Do not include in the first generator UI.
SC_005,"P2 core excavation paragraph: standard cuts, garage same elevation, garage higher than house, walkout",AUTO,These are core day-to-day branches Huzaifa explained in detail and they directly drive later recommendations.,"CL_018, CL_021, CL_022; DT_020-DT_024","This is a high-priority UX area: clear, guided choices with minimal free text."
SC_006,P2 special structure path: garden / garage suite,REVIEW,"Not explicitly deferred; Huzaifa clarified it is a special P5-only style path, not a normal house footing recommendation path.","CL_023; DT_025, DT_093",Include in V1 as a special/manual-review path.
SC_007,P2 as-constructed / already-built variants,REVIEW,Huzaifa described these as real cases. 18-inch and 20-inch are understandable; 24-inch still needs review detail.,"CL_019, CL_047; DT_026-DT_029, DT_072-DT_074","Include in V1, but keep 24-inch branch clearly flagged."
SC_008,"P2 observed issue branches: over-sized trench, frost, loose/peeling, slough, free water, rain-softened, snow, exposed electrical trench, ground heating",AUTO,These are important because they trigger downstream recommendation changes.,"CL_010, CL_013, CL_024, CL_025, CL_026, CL_036, CL_038, CL_039, CL_042; DT_030-DT_038",UI should allow multiple issue selections and show downstream effects.
SC_009,"P2 site history / stage branches: infill, knockdown/rebuild, construction nearly complete, framing stage",AUTO,"These are real, named source clauses and do not conflict with the normal letter backbone.","CL_006, CL_027, CL_032, CL_033; DT_039-DT_042",Best modeled as optional add-on/context selections.
SC_010,P3 native soil descriptions,AUTO,Core day-to-day path for normal native lots.,"DT_050, DT_052, DT_057-DT_063","Must preserve exact wording discipline, especially 'native deposit'."
SC_011,P3 engineered-fill and layered fill-over-native descriptions,AUTO,Example issued letter proves this is a normal production case.,"CL_007, CL_008, CL_017; DT_051-DT_055",Key for later import from the booking system / engineered-fill flag.
SC_012,P3 engineered-fill by others / unknown provenance / subdivision-specific others clauses,REVIEW,"Not explicitly deferred, but these need review-sensitive wording and sometimes outside documentation.","CL_029, CL_030, CL_037; DT_055-DT_056",Keep in V1 scope as flagged/manual-review branches.
SC_013,"P3 high-plastic warning, trace features, descriptor scales",AUTO,Directly described by Huzaifa and central to structured input design.,CL_043; DT_057-DT_063,This sheet will strongly shape the later control design.
SC_014,P4 main footing recommendation: standard / modified / as-constructed,AUTO,Main recommendation family is stable; only some special triggers still need review detail.,"CL_002, CL_003, CL_019, CL_047; DT_070-DT_074",Make P4 mostly derived rather than hand-authored.
SC_015,"P4 add-ons: spread footings, reinforcement, thickened footing, drainage, remediation language",REVIEW,"Core family is in scope, but spread-footing value conflicts and some remediation packages need confirmation.","CL_004, CL_005, CL_020, CL_024, CL_025, CL_026, CL_034, CL_035, CL_036, CL_038, CL_039, CL_045, CL_046; DT_075-DT_085","Build now, but highlight unresolved clause families for Huzaifa."
SC_016,P5 garage recommendation family,AUTO,Garage recommendation is a real standard branch and is fully derived from P2 garage presence plus P4 footing basis.,"CL_014, CL_015; DT_090, DT_091, DT_095",Do not allow the UI to suppress garage paragraph if P2 says garage exists.
SC_017,"P5 garage special advisories: garage slab organics, garden suite recommendation",REVIEW,"Real clauses, but less common and more special-case than the standard attached-garage path.","CL_016, CL_023; DT_093-DT_094",Keep visible as special/manual-review branches.
SC_018,P6 sulphate result paragraph,AUTO,Huzaifa described this as a clean one-of-four add-on with no extra branching.,CL_048-CL_051; DT_100-DT_103,A later lab-result screen/control can handle this cleanly.
SC_019,P7 winter paragraph,AUTO,Huzaifa said it is always there; keep it in the standard V1 path.,CL_011; DT_110,No UI control needed in the first prototype.
SC_020,Closing + signoff + permit-to-practice + archive path,AUTO,These are required for the current office workflow even though some authoring nuances remain.,Report_Skeleton P8 + SIG rows; DT_111-DT_115,"Output should remain Word-first so the office can print, sign, and file."
SC_021,Pile-related families and similar alternative foundation modes,DEFERRED TO V2,Huzaifa explicitly said pile inspection / pile-related families can be kept in source but neglected for now.,"CL_009, CL_031, CL_040, CL_041","Keep in the workbook and source library, but do not expose in first generator."
SC_022,Uncontrolled fill mode,DEFERRED TO V2,Huzaifa explicitly said uncontrolled fill should be left out because the letter becomes completely different and can be brute-forced if needed.,Transcript only; Input_Model exclusion note,Do not expose in first generator. Leave as future mode.
