Input ID,Group,UI label / question,Source,Control type,Required state,Allowed values / format,Default / example,Feeds section(s),Decision table ref(s),Notes / validation
IN_001,Metadata,Letter date,User/manual or imported booking metadata,Date picker,Required,Valid date,Date letter is written,META,DT_001,Not the same as inspection date.
IN_002,Metadata,File number,Booking metadata / manual,Text,Required,"Client file format, e.g., 5478 - 1",5478 - 1,META,DT_001,Later phases can prepopulate this.
IN_003,Metadata,Client name,Booking metadata / manual,Select or text,Required,Client master entry,VICTORY HOMES LTD.,META,DT_001,Should later map to mailing-address master data.
IN_004,Metadata,Client mailing address,Booking metadata / manual,Multi-line text,Required,Address lines,"1665 - 91 Street SW / Edmonton, Alberta / T6X 0W8",META,DT_001,Generated as a formatted block above Re: line.
IN_005,Metadata,Re: heading suffix,Manual special-case input,Short text,Optional,Blank or short suffix text,rear garage,META,DT_001,Default heading stays 'Foundation Soil Inspection'.
IN_006,Metadata,Include legal description line?,Manual toggle / imported if available,Checkbox,Conditional,On / Off,On,META,DT_002,Usually on; may be turned off if lot/block/plan unavailable.
IN_007,Metadata,Lot,Booking metadata / manual,Short text,Conditional,Up to 3 characters; letters and/or numbers,110,META,DT_002,No internal spaces expected.
IN_008,Metadata,Block,Booking metadata / manual,Short text,Conditional,Up to 3 characters; letters and/or numbers,17,META,DT_002,No internal spaces expected.
IN_009,Metadata,Plan,Booking metadata / manual,Short text,Conditional,Typically 3 chars + space + 4 chars; letters/numbers allowed,252 2250,META,DT_002,Should accept older non-spaced plan variants without error.
IN_010,Metadata,Street address,Booking metadata / manual,Text,Required,Civic address,607 - 30 Street SW,META,DT_003,Always shown when known.
IN_011,Metadata,Include client job number line?,Manual toggle,Checkbox,Optional,On / Off,Off,META,DT_003,Bedrock-style extra line.
IN_012,Metadata,Client job number,Booking metadata / manual,Text,Conditional,Short project/job string,RST 0070,META,DT_003,Only visible when the toggle is on.
IN_013,Metadata,Include subdivision?,Manual toggle / imported,Checkbox,Optional,On / Off,On,META,DT_004,Default on; allow omission when unknown.
IN_014,Metadata,Subdivision,Booking metadata / manual,Text or select,Conditional,Subdivision name,Alces Subdivision,META,DT_004,Shown only when subdivision toggle is on.
IN_015,Metadata,Municipality,Booking metadata / manual,Dropdown,Required,Edmonton; Sherwood Park; Spruce Grove; Leduc; Red Deer; etc.,"Edmonton, Alberta",META,DT_005,"Default Edmonton, but keep open list flexible."
IN_016,Metadata,Hidden H number,System / office document number,Hidden text,Hidden,H-number string,h38566,SIG / Archive,"DT_006, DT_115",Do not show in visible body; use in filename/archive path.
IN_017,P1,Inspection date,Field notes / manual,Date picker,Required,Valid date,"January 28, 2026",P1,"DT_010, DT_011",Used inside the intro paragraph.
IN_018,P2,Minimum cut below adjacent ground surface (m),Field sketch / manual,Number,Conditional,Positive decimal in metres,1.7,P2,"DT_021, DT_022",Derived from the lowest corner cut when using standard cut wording.
IN_019,P2,Maximum cut below adjacent ground surface (m),Field sketch / manual,Number,Conditional,Positive decimal in metres,1.9,P2,"DT_021, DT_022",Derived from the highest corner cut when using standard cut wording.
IN_020,P2,Garage mode,Field observation / manual,Select-one,Required,None; Same elevation as house; Higher than house,None,P2 / P5,"DT_023, DT_024, DT_095","If garage is selected, P5 becomes mandatory/derived."
IN_021,P2,Garage floor offset above house (m),Field observation / manual,Number,Conditional,Positive decimal in metres,0.7,P2,DT_024,Only used when garage is higher than house footing.
IN_022,P2,Walkout basement?,Field checkbox / manual,Checkbox,Optional,Yes / No,No,P2,DT_022,"If yes, replaces the standard cut-range wording."
IN_023,P2,Garden / garage suite mode?,Manual special-case toggle,Checkbox,Optional,Yes / No,No,P2 / P5,"DT_025, DT_093",Special structure path; no normal house P4 recommendation in this mode.
