Clause ID,Raw Title / Name,Clause Text (source excerpt),Category,Insertion Point,Current Status,Trigger / Usage Summary,Parameters Needed,Downstream Effects,Mutually Exclusive With,Notes / Cleanup Needed,Source,V1 Handling,Decision table ref(s),Huzaifa review needed?,Exact review prompt,Canonical output note
CL_000,Standard P1,"As requested, J.R. Paine & Associates Ltd., (JRP), has conducted an inspection of the above noted excavation on {January 28, 2026}.  The purpose of this inspection was to verify that the site soil bearing capacity and expected settlement are adequate to support typical house loads, and where they are not adequate, to recommend a foundation design to address these bearing and settlement issues.  It is assumed that this house is designed and will be constructed in accordance with the Alberta Building Code, except where superseded by this letter.  ",Introduction,P1,CURRENT,Automatically Added,none,None,None,,Example Letter,AUTO,DT_010,No,,Canonical intro should use a placeholder for inspection date only.
CL_002,Standard Footing,The soil conditions at this site were considered adequate for the construction of a standard house footing foundation. A minimum strip footing width of 450 mm and a minimum depth of 150 mm are recommended.,Recommendation,P4,CURRENT,Base recommendation when standard footing applies,none,May pair with spread footing clause,Modified Footing; as-constructed variants,House footing baseline.,Master clause doc,AUTO,DT_070,No,,Use mm abbreviation in generated output.
CL_003,Modified Footing,The soil conditions at this site were considered adequate for the construction of a modified house footing foundation. A minimum strip footing width of 600 mm and a minimum depth of 200 mm are recommended.,Recommendation,P4,CURRENT,Used when conditions require modified footing,none,Changes house footing dimensions and capacity wording,Standard Footing; as-constructed variants,Need exact trigger rules.,Master clause doc,AUTO,DT_071,Yes,Confirm the exact trigger thresholds that move a site from standard to modified footing.,Use mm abbreviation in generated output.
CL_004,Bearing Capacity,The soil conditions at this site were considered adequate for the construction of a standard house footing foundation. A factored bearing resistance of 100 kPa (2000 psf) is considered adequate for this excavation.,Recommendation,P4,UNCLEAR,Standalone bearing-capacity wording,none,Affects recommendation wording,Spread Footing variants?,May be superseded by more current spread-footing wording.,Master clause doc,REVIEW,DT_076,Yes,"When, if ever, should this 100 kPa bearing-capacity wording be used instead of the 140 kPa spread-footing sentence?",Competes with 140 kPa family; do not hardcode as default.
CL_005,Bearing Capacity Spread Footing,Spread footings may be designed utilizing a factored bearing resistance of 140 kPa (2900 psf) with a geotechnical resistance factor of 0.5.,Recommendation add-on,P4,CURRENT,Adds spread footing design value of 140 kPa / 2900 psf,none,Appends bearing resistance sentence,Alternative spread-footing value 100 kPa,Matches example letter wording.,Master clause doc + example letter,REVIEW,DT_075,Yes,Confirm whether 140 kPa is always the V1 default spread-footing value or only the most common current one.,Example letter uses 140 kPa with geotechnical resistance factor of 0.5.
CL_006,Infill,It is understood that a previous residence had existed upon the site and had been removed prior to our inspection.,Site history,P2 or P3,CURRENT,Use when previous residence existed and was removed,none,May alter soil-history narrative,None,Likely knockdown/rebuild related.,Master clause doc,AUTO,DT_039,No,,May appear in P2 history or adjacent context depending on selected mode.
CL_007,Engineered Fill Clause (JRP),This lot was part of an engineered fill program monitored and tested by our firm.,Soil condition add-on,P3,CURRENT,When lot was part of engineered fill program monitored by JRP,none,Adds engineered-fill provenance,Engineered Fill by others / unknown,Core clause for engineered fill lots.,Master clause doc + example letter,AUTO,DT_053,No,,Engineered-fill provenance add-on for JRP-monitored lots.
CL_008,Engineered Fill with JRP and others,This lot was part of an engineered fill program monitored and tested by our firm with subsequent fill being tested and monitored by others.,Soil condition add-on,P3,CURRENT,When JRP monitored part and others later monitored subsequent fill,none,Adds more complex provenance,Engineered Fill JRP only / by others / unknown,Need exact data source to choose this.,Master clause doc,AUTO,DT_054,Yes,Confirm the exact data source or office cue that tells users to choose the JRP + others variant.,Keep clause text source-faithful; later generator can normalize units only.
CL_010,Frost to depth of 150 mm,"At the time of inspection, frost was encountered throughout most of the excavation floor to a depth of approximately 150 millimetres. Due to the frost, the foundation walls should be reinforced with four rows of 2-10M bars, spread evenly throughout the wall.",Observed condition + recommendation,P2 and P4,CURRENT,When frost encountered in excavation,frost depth,Adds wall reinforcement recommendation and suitability wording changes,None,"Needs generalized parameterized version, not hardcoded 150 mm only.",Master clause doc,AUTO,DT_033; DT_078,No,,Normalize frost depth as numeric parameter; keep reinforcement wording linked to P4.
CL_011,Winter Construction Paragraph,"During cold weather construction, it is essential that all interior fill and load bearing material remain as frost free as possible. In order to minimize the potential frost heave problems, the interior of the building must be heated as soon as the walls have been poured and the sub- floor is placed. The period in which the excavation is left open to freezing conditions should be as short as possible. There must be no delays from the time of excavation to the placement of the temporary heat system. Recommended cold weather construction practices, with respect to hoarding and heating of the forms and the fresh concrete, should be followed.",Fixed clause,P7,CURRENT,Always appended in current example/workflow,none,None,None,Need to confirm always-on policy across seasons.,Master clause doc + example letter,AUTO,DT_110,No,,Keep always-on in V1.
