Rule ID,V1 Support,Section,Trigger source,User / system input,Allowed / example values,Condition / applies when,Action type,Primary clause ID(s),Secondary clause ID(s),Output / result,Downstream / dependency,Huzaifa review?,Exact review prompt,Evidence / notes
DT_001,AUTO,META,Manual / imported metadata,Heading + top block metadata,Letter date; file no.; client; mailing address; optional suffix,Whenever a standard FSI letter is started,Insert / compose,Report_Skeleton META_02-META_10,CL_000,Compose the visible top block using the fixed layout and metadata placeholders.,Feeds the visible first-page report shell before P1 starts.,No,,"Second call confirmed placeholders should exist throughout the example output, including dates and metadata."
DT_002,AUTO,META,Manual toggle / imported metadata,Legal description line,lot; block; plan,If legal description is available and enabled,Insert / suppress,Report_Skeleton META_06,,"Output 'Lot {lot}, Block {block}, Plan {plan}'. If disabled, suppress the whole legal-description line.",None,No,,Lot/block may contain letters; plan is typically 3 chars + space + 4 chars but should accept older variations.
DT_003,AUTO,META,Manual toggle,Client job-number line,On/Off + job no. text,If enabled for clients such as Bedrock,Insert / suppress,Report_Skeleton META_08,,Insert an extra line after street address and before subdivision.,None,No,,"Second call said default off, turned on only when needed."
DT_004,AUTO,META,Manual toggle / imported metadata,Subdivision line,On/Off + subdivision text,Default on; suppress when unknown,Insert / suppress,Report_Skeleton META_09,,Show subdivision beneath street/job lines when enabled.,None,No,,Huzaifa said subdivision should normally stay on.
DT_005,AUTO,META,Manual / imported metadata,Municipality line,Edmonton; Sherwood Park; Spruce Grove; Leduc; Red Deer; etc.,"Always, unless a custom municipality is needed",Select / insert,Report_Skeleton META_10,,"Default to Edmonton, Alberta; allow alternate municipality values.",None,No,,Second call explicitly called for a municipality dropdown with Edmonton default.
DT_006,AUTO,META,Hidden system value,H number / document number,h38566-style string,"Always for generated output, but never in visible body text",Hidden / derive,Report_Skeleton SIG_04,,Use H number only in generated filename and archive path.,Feeds archive path generation.,No,,Second call: H number should not show in body; only in bottom archive path / filename.
DT_007,AUTO,SIG,User profile / asset directory,Signoff routing,Prepared-by optional; engineer signoff required; permit-to-practice fixed blank asset,On every normal V1 output,Insert / derive,Report_Skeleton SIG_01-SIG_03,,Compose signoff using selected engineer asset and fixed permit-to-practice blank asset.,Feeds final page layout and print/sign workflow.,No,,Second call locked the permit-to-practice asset as fixed and blank; engineer selection should pull name/designation/member no./stamp together.
DT_010,AUTO,P1,Always,Standard intro paragraph,inspection date,Normal FSI letter path,Insert,CL_000,,Insert the standard intro and replace the inspection-date placeholder.,None,No,,First call: intro is the same for normal letters except inspection date.
DT_011,REVIEW,P1,Special mode select,Frost follow-up intro replacement,follow-up inspection date(s); prior letter/date,When the letter is a frost follow-up inspection rather than a normal initial FSI,Replace,CL_044,CL_000,Replace the normal intro with the frost follow-up intro family.,May also affect whether the rest of the report is treated as a follow-up mode rather than a fresh initial inspection.,Yes,Confirm whether frost follow-up should be exposed in the first release UI or kept behind a clearly labeled review gate.,Second call explicitly said this clause replaces the intro if used.
DT_020,AUTO,P2,Always,Base excavation sentence,none,Every normal FSI letter,Insert,Report_Skeleton P2,CL_021 / CL_022 / CL_018 as modifiers,"Start P2 with the fixed sentence 'At the time of inspection, the excavation was at footing grade and was advanced by a backhoe.'",All later P2 branches append to or replace what follows this sentence.,No,,First call calls this the motherhood sentence for excavation.
DT_021,AUTO,P2,Manual / field-note derived,Standard cut-range wording,min cut (m); max cut (m),Default path when walkout does not replace cut wording,Insert,Report_Skeleton P2,,Insert standard cut-range sentence using the lowest and highest cut values from the sketch.,Feeds normal P2 flow before garage or issue append clauses.,No,,First call: select the lowest and highest cuts from the corner sketch values.
DT_022,AUTO,P2,Walkout checkbox,Rear walkout wording,front cut range; back cut range; extra depth if known,When walkout basement is selected,Replace + append,CL_018,,"Replace the normal cut sentence with the walkout cut wording. After that, other valid P2 append clauses may still follow.","Garage append, if any, still comes after the walkout wording.",No,,First call: walkout replaces the standard cut sentence rather than sitting beside it.
DT_023,AUTO,P2,Garage mode select,Garage same elevation wording,garage present = same elevation,When attached garage excavation bottom is at same elevation as house area,Append,CL_021,,Append same-elevation garage wording after the standard cut sentence or after walkout wording if walkout exists.,Triggers P5 garage recommendation and mirrors P4 footing basis.,No,,Garage comment should come after the cut / walkout content.
DT_024,AUTO,P2,Garage mode select,Garage higher-than-house wording,garage present = higher; optional offset m,When garage footing excavation is above the house footing level,Append,CL_022,,Append higher-than-house garage wording after the standard cut sentence or after walkout wording if walkout exists.,Triggers P5 garage recommendation and mirrors P4 footing basis.,No,,First call: garage comment comes at the end if multiple P2 clauses are present.
DT_025,REVIEW,P2 / P5,Special mode select,Garden / garage suite structure,garden suite = yes,When the rear garage garden-suite structure clause family is needed,Append + derive,CL_023,,Use the special excavation wording and generate only the garden-suite recommendation path in P5; do not generate the normal house P4 recommendation for the suite itself.,Changes later recommendation routing.,Yes,Confirm that garden-suite mode always uses P5 only and never generates a normal house P4 recommendation for the suite.,Second call explicitly clarified that this is a P5-only style recommendation family.
DT_026,AUTO,P2 / P4 / P5,As-constructed mode select,Previously poured footing - 18 inch baseline,18-inch previously poured footing,When footings are already poured before inspection and measured at standard size,Replace + derive,CL_019,CL_014,Replace the normal live-excavation wording with the as-constructed footing wording and later use as-constructed adequacy language instead of a fresh recommendation.,Feeds P4 and possibly P5 as-constructed language.,No,,First call: these are real cases and the letter changes from recommending to assessing as-constructed adequacy.
DT_027,AUTO,P2 / P4 / P5,As-constructed mode select,Previously poured footing - 20 inch variant,20-inch previously poured footing,When footings are already poured at approximately 500 mm by 200 mm,Replace + derive,CL_019,CL_014,Use the 20-inch P2 wording and later switch P4/P5 to as-constructed adequacy language.,Feeds P4 and P5 as-constructed language.,No,,Source clause has an explicit 20-inch variant.
DT_028,REVIEW,P2 / P4 / P5,As-constructed mode select,Previously poured footing - 24 inch variant,24-inch previously poured footing,When a 24-inch as-constructed branch is needed,Replace + derive,CL_019,,"Keep the branch in scope, but require review until the exact dimensions and wording are confirmed.",Feeds P4/P5 as-constructed language if retained.,Yes,"Confirm the exact 24-inch wording, dimensions, and whether garage wording changes.","First call mentioned 24-inch as a possible case, but source text is not cleanly normalized."
DT_029,REVIEW,P2 / P3 / P4,As-constructed mode select,Already poured walls and footing,already poured walls and footing = yes,When both perimeter strip footings and basement walls are already built,Replace + derive,CL_047,CL_043,"Use the as-constructed walls-and-footing wording, then keep adequacy language rather than a new live recommendation.",May also append high-plastic warning if applicable.,Yes,Confirm the final wording/layout for the already-poured walls-and-footing path.,"Source clause is real, but it is a rarer late/as-constructed mode."
DT_030,AUTO,P2,Issue checkbox,Slough material observed,Yes / No; optional location,When slough material exists at excavation floor / sidewall,Append,CL_013,,Append slough-material observation/removal wording to the end of P2.,May imply remediation instructions before or within P4 if needed.,No,,Source clause is straightforward observation language.
DT_031,AUTO,P2 / P4,Issue checkbox + location,Over-sized service trench observed,Yes / No + location,When an over-sized service trench is present,Append + derive,CL_024,CL_035,Append the observation/location in P2 and trigger reinforcement or fillcrete/remediation language in P4.,Also flips suitability wording to 'would then be considered' when remedial action is required.,No,,First call and second call both tie this directly to downstream recommendation changes.
DT_032,AUTO,P2 / P4,Issue checkbox,Loose or peeling material observed,Yes / No,When loose peeling clay or similar disturbed bearing material is present,Append + derive,CL_025,CL_020,Append the observation in P2 and trigger removal/thickened-footing/remediation wording in P4.,May also flip suitability wording depending on the final branch used.,No,,Source family contains both observation and later remediation text.
DT_033,AUTO,P2 / P4,Issue checkbox + value,Frost encountered,frost depth in mm,When frost is present in the excavation,Append + derive,CL_010,,Append frost observation in P2 and trigger reinforcement wording in P4.,Also flips suitability wording to 'would then be considered'.,No,,First and second calls both linked frost in P2 directly to P4 reinforcement.
DT_034,AUTO,P2 / P4,Issue checkbox + value,Free water / water in auger holes,Yes / No + optional depth/context,When free water is noted in auger holes or below footing elevation,Append + derive,CL_026,,Append free-water observation in P2 and trigger dewatering/upgraded drainage wording in P4.,Also tends to change footing basis and suitability wording depending on selected branch.,No,,Huzaifa explicitly described this as an observation in P2 with drainage upgrade prefix in P4.
DT_035,REVIEW,P2 / P4,Issue select,Rain-softened / saturated material,None; rain-softened; saturated/soft with standing water,When rain has softened the excavation or standing water is present,Append / replace + derive,CL_036,,Use the selected rain-softened family wording in P2 and trigger drying/removal/thickened-footing/remediation language in P4.,Often flips wording to 'would then be considered'.,Yes,"Which rain-softened source variant should be the canonical V1 wording, and what exact trigger distinguishes them?",The source document contains more than one related variant.
