Order,Section ID,Section Name,Fixed vs Variable,Description,Source Evidence,V1 Status,Notes / Open Questions
1,FMT_01,First-page header / logo branding,Fixed,"Company logo, company name, and first-page branding/header. This is the first-page-only format that Huzaifa described as the title-block / cover-page layout.",Transcript + example letter,IN,Keep as template-driven. Only page 1 uses the full logo/header treatment.
2,FMT_02,First-page footer,Fixed,Office list and phone-number footer used on the first page.,Transcript + example letter,IN,Separate from later-page footer because page 2+ follows a different format.
3,META_01,Office address block,Fixed in V1,Top-right office address block. Transcript says focus Edmonton first; other offices can be added later without changing overall layout.,Transcript + example letter,IN,Use Edmonton office block for the first V1 template.
4,META_02,Letter date,Variable,"Date the letter is written, not necessarily the same as inspection date.",Transcript + example letter,IN,User-selected date field.
5,META_03,File number,Variable,File No. line under the letter date.,Transcript + example letter,IN,Pulled from inspection metadata in later phases; manually entered/selected in first generator.
6,META_04,Client name and mailing address,Variable,Client name (bold) plus mailing-address block immediately above the Re: section.,Transcript + example letter,IN,Client master list later; manual/dropdown in early V1.
7,META_05,Re: heading,Fixed + Variable,Base heading is “Foundation Soil Inspection”; transcript allows an optional dash suffix for rarer cases.,Transcript + example letter,IN,Default to base heading; optional manual suffix field.
8,META_06,Legal description line,Variable,Lot / Block / Plan line for the inspected property.,Transcript + example letter,IN,"Lot and block may be short numeric values; plan may be letters/numbers. Option for letters/number available for all (lot, block, plan). Lot and block can be up to 3 characters with letters or/and numbers. The plan is 3 charcters followed by a space then 4 more characters (mixture of letters and numbers)."
9,META_07,Street address line,Fixed,Street/civic address of the inspected site.,Transcript + example letter,IN,
10,META_08,Optional client job-number line,Variable / optional,Bedrock-style extra job-number line below street address.,Transcript,IN,Default off. Exposed only when needed for clients such as Bedrock.
11,META_09,Subdivision line,Variable / optional,"Subdivision name, usually present.",Transcript + example letter,IN,Default on; allow omission when unknown.
12,META_10,Municipality line,Variable,"City / municipality line, Edmonton by default but selectable for other municipalities.",Transcript + example letter,IN,"Dropdown candidate: Edmonton, Sherwood Park, Spruce Grove, etc."
13,P1,Intro paragraph,Fixed backbone + replacement mode,Default intro paragraph describing the purpose of inspection and ABC assumption. Normal path inserts inspection date; special follow-up mode can replace the whole intro.,Transcript + example letter,IN,"Normal V1 uses the standard intro. Frost follow-up remains a special replacement path, not a second paragraph."
14,P2,Excavation conditions paragraph,Fixed backbone + variable inserts,"Starts with a fixed excavation sentence, then cut range, then optional excavation add-ons such as garage same elevation, garage higher than house, walkout wording, already-poured footing wording, and observed site issues, over excavated trench, frost issues, organic fill or engineered fill by others comments, etc.",Transcript + example letter + clause master,IN,P2 is the main logic driver. Order matters: base excavation -> cut/walkout wording -> garage append (if any) -> other observed issue clauses.
15,P3,Soil conditions paragraph,Variable + derived add-ons,"Soil description paragraph built from structured descriptors: origin (main: native or engineered fill or combination of both), material type (clay (either silty, sandy, or both), sand (course grain, medium grain, fine grain, loose compaction, very loose, compact, dense, very dense compaction, well graded, poorly graded), silt (same compaction options as sand and very fine grain), very sandy, very silty, silty to very silty, sandy to very sandy, or select multiple), moisture (damp, moist, very moist, wet, able to pick 2 with scaling (going left to right on linear scale without skipping)), colour (brown, grey, brown and grey, brown and dark grey, dark grey, black, reddish-brown), plasticity (low plastic, medium plastic, and high plastic or again on a linear scale (low to med or med to high)), density/consistency, traces, engineered-fill provenance, and high-plastic warning when triggered.",Transcript + example letter + clause master,IN,"P3 should be structured from controlled selections, not free text. 'Native deposit' wording only appears when the soil is actually native."
16,P4,Primary footing recommendation paragraph,Derived,"Main house-footing recommendation. Can resolve to standard, modified, or as-constructed adequacy wording, and may prepend conditional language tied to excavation/soil issues.",Transcript + example letter + clause master,IN,Paragraph 4 is driven by selections in P2 and P3; spread-footing sentence lives here as an add-on.
17,P5,Garage recommendation paragraph,Derived,Separate garage recommendation paragraph added only when garage conditions apply.,Transcript + clause master,IN,"If P2 says a garage exists, P5 must appear. Garden-suite mode is special and uses P5 without the normal house P4 path."
18,P6,Sulphate paragraph,Optional,"One-of-four sulphate-result paragraph: negligible, moderate, severe, or very severe.",Transcript + clause master,IN,Huzaifa describes this as a simple add-on paragraph.
19,P7,Winter construction paragraph,Fixed,Standard winter-construction paragraph appended after the technical recommendation paragraphs.,Transcript + example letter + clause master,IN,"Keep always-on in V1. If later evidence proves otherwise, this can be relaxed in a later version."
20,P8,Closing paragraph,Fixed,Standard closing: “We trust this information is considered satisfactory...”,Transcript + example letter,IN,
21,SIG_01,Prepared-by signoff,Optional + Variable,"Prepared-by name and designation, with blank signing space above.",Transcript + example letter,IN,"Prepared-by block is optional. When the author is already the signing engineer, the standard engineer block can absorb the author/signer identity."
22,SIG_02,Reviewed-by engineer / stamp area,Required engineer block + Variable asset,"Reviewer name, stamp image, and member number area.",Transcript + example letter + clause master,IN,"Standard V1 output should always include the engineer signoff/stamp block. Image asset, name, designation, and member number are variable."
23,SIG_03,Permit-to-practice signatory area,Fixed blank asset,Blank permit-to-practice signing area kept in the fixed V1 output. It is not tied to the selected engineer stamp.,Transcript,IN,Second call says this should be a single fixed blank permit-to-practice asset that can be signed by an eligible director/signatory.
24,SIG_04,Archive path / file path,Derived,H-drive path printed at the bottom for filing/reference.,Transcript + example letter,IN,"Derived from year + housing folder + client folder + generated filename. Hidden H number appears here, not in visible body text."
25,FMT_03,Later-page header / footer format,Fixed,"Page 2+ layout uses the later-page header/footer style, not the page-1 title-block style.",Transcript + example letter,IN,Template must use a different first page.
