Map ID,Field-note sheet area,Observed on provided sheets,Example / interpretation from sample field notes,Candidate digital input(s),Feeds report section(s),V1 Use,Notes
FF_001,Top metadata block (ID / client / address / insp type / due time),Yes,Preprinted office metadata is visible at the top of both sample field-note sheets.,Inspector_name; inspection_id; file_number; client_name; jrp_job_number; client_job_number; address; lot_block_plan; inspection_type; eng_fill; time_due,META,NOW,"Supports the future prepopulation story. These are office/booking-system inputs, not handwritten field observations."
FF_002,Office comments / intake comment line,Yes,"Sample printed comments mention sulphate, spread footing capacity, and design notes before handwritten observations begin.",office_comments,META / P2 context,NOW,"Useful as carried-forward context or alert banner, not as primary technical logic."
FF_003,Soil conditions handwritten area,Yes,Sample note includes handwritten soil shorthand like clay / silty / moist / brown-grey / high plastic.,soil_layering_mode; soil_origin; material_family; moisture; colour; plasticity; traces; high_plastic; and more that should be fully captured…,P3,NOW,This is one of the most important future data-capture areas for the UI.
FF_004,Cut/fill sketch grid with corner notes,Yes,The sketch and handwritten cut/fill numbers are the source for min/max cut values and often reveal garage/walkout context.,cut_frontleft_m; cut_frontright_m; cut_backleft_m; cut_backright_m; garage_mode; walkout,P2,NOW,Current manual practice uses the lowest and highest cuts recorded around the sketch to inform the FSI letter from the four captured values.
FF_005,Ingressing water yes/no,Yes,The form explicitly asks whether ingressing water is present.,free_water_in_augers; drainage_issue_flag,P2 / P4,NOW,Strong candidate for a clean checkbox in the future UI.
FF_006,Recommendations handwritten shortcut area,Yes,Short handwritten recommendation note appears below ingressing water.,recommendation_crosscheck_note,P4 / P5,LATER,"Useful as a QA cross-check, but the generator should derive recommendations from structured conditions instead of relying on free text."
FF_007,House details: Attached Garage checkbox,Yes,The printed form includes an Attached Garage checkbox.,garage_mode,P2 / P5,NOW,Directly maps to whether garage excavation and garage recommendation logic should appear.
FF_008,House details: Walkout checkbox,Yes,The printed form includes a Walkout checkbox.,walkout,P2,NOW,Useful because walkout replaces the standard cut wording.
FF_009,COMMENTS box under the sketch,Yes,Sample handwritten comments include client job shorthand and 'No garage'.,client_job_number; garage_mode; special_site_notes,META / P2,NOW,"In the current paper process, this box often carries the clues that drive garage/walkout selection."
FF_010,Front-left / front-right / back-left / back-right note lines,Yes,Printed location lines sit under the grid for corner-specific notes.,corner_specific_notes…check with ff_004,P2,NOW,The min and max values captured here from the 4 corner values will be utilized in the FSI letter build.
FF_011,Pocket pens / contact method checkboxes,Yes,Printed operational tracking fields appear below recommendations.,"operational_contact_tracking: text, voice mail, talked to contact, gave recommendations to cribber",None,LATER,Operational workflow only; not part of the V1 letter generator.
FF_012,Site hazard assessment table,Yes,"Hazard rank, hazards, and controls are filled by hand on the sample sheets.","site_hazard_assessment: rank, existing or potential hazard description, hazard control",None,LATER,"Relevant to field workflow digitization, not to V1 report assembly."
FF_013,Emergency preparedness block,Yes,"First aid, emergency number, first aid personnel, muster point, and emergency medical facility checkboxes appear at bottom left.",emergency_preparedness,None,LATER,Keep for future inspection-app scope; not required for report generation.
FF_014,PPE / print name / sign / review lines,Yes,"PPE checkboxes (hard hat, safety boots, safety vests, other) and Eng/Tech,Other,Review print-name/sign lines appear at bottom right.",field_signature_workflow,None,LATER,"Important for digitized field workflow later, but outside the report-writer MVP."
FF_015,Overall paper form behavior,Yes,Top block is prefilled; lower technical fields are handwritten; safety/operational sections are always present on paper.,mixed_source_capture,META + P2 + P3,NOW,Confirms that the future UI should separate auto-filled metadata from engineer-entered observations.
