Rule ID,V1 Support,Section,Trigger source,User / system input,Allowed / example values,Condition / applies when,Action type,Primary clause ID(s),Secondary clause ID(s),Output / result,Downstream / dependency,Huzaifa review?,Exact review prompt,Evidence / notes
DT_011,REVIEW,P1,Special mode select,Frost follow-up intro replacement,follow-up inspection date(s); prior letter/date,When the letter is a frost follow-up inspection rather than a normal initial FSI,Replace,CL_044,CL_000,Replace the normal intro with the frost follow-up intro family.,May also affect whether the rest of the report is treated as a follow-up mode rather than a fresh initial inspection.,Yes,Confirm whether frost follow-up should be exposed in the first release UI or kept behind a clearly labeled review gate.,Second call explicitly said this clause replaces the intro if used.
DT_025,REVIEW,P2 / P5,Special mode select,Garden / garage suite structure,garden suite = yes,When the rear garage garden-suite structure clause family is needed,Append + derive,CL_023,,Use the special excavation wording and generate only the garden-suite recommendation path in P5; do not generate the normal house P4 recommendation for the suite itself.,Changes later recommendation routing.,Yes,Confirm that garden-suite mode always uses P5 only and never generates a normal house P4 recommendation for the suite.,Second call explicitly clarified that this is a P5-only style recommendation family.
DT_028,REVIEW,P2 / P4 / P5,As-constructed mode select,Previously poured footing - 24 inch variant,24-inch previously poured footing,When a 24-inch as-constructed branch is needed,Replace + derive,CL_019,,"Keep the branch in scope, but require review until the exact dimensions and wording are confirmed.",Feeds P4/P5 as-constructed language if retained.,Yes,"Confirm the exact 24-inch wording, dimensions, and whether garage wording changes.","First call mentioned 24-inch as a possible case, but source text is not cleanly normalized."
DT_029,REVIEW,P2 / P3 / P4,As-constructed mode select,Already poured walls and footing,already poured walls and footing = yes,When both perimeter strip footings and basement walls are already built,Replace + derive,CL_047,CL_043,"Use the as-constructed walls-and-footing wording, then keep adequacy language rather than a new live recommendation.",May also append high-plastic warning if applicable.,Yes,Confirm the final wording/layout for the already-poured walls-and-footing path.,"Source clause is real, but it is a rarer late/as-constructed mode."
DT_035,REVIEW,P2 / P4,Issue select,Rain-softened / saturated material,None; rain-softened; saturated/soft with standing water,When rain has softened the excavation or standing water is present,Append / replace + derive,CL_036,,Use the selected rain-softened family wording in P2 and trigger drying/removal/thickened-footing/remediation language in P4.,Often flips wording to 'would then be considered'.,Yes,"Which rain-softened source variant should be the canonical V1 wording, and what exact trigger distinguishes them?",The source document contains more than one related variant.
DT_038,REVIEW,P2 / P3,Issue checkbox,Operating ground heating system,Yes / No,When a builder-installed ground heating system is present,Append / review,CL_042,,"Keep the branch in V1 scope, but require review until a full clean current wording is confirmed.",May affect P2 and P3 observation language.,Yes,Provide or confirm the full current ground-heating wording.,Current source excerpt appears incomplete.
DT_055,REVIEW,P3 / P4,Origin select,Engineered fill by others,origin = engineered fill by others,When engineered fill was supervised/tested by a firm other than JRP,Append / review,CL_029,,"Keep branch in scope, but treat as review-required until the current firm wording/process is confirmed.",May influence whether P4 should fully recommend or stop for documentation review.,Yes,"Is the existing 'Hoggan must review' wording still current, and what replaces it today?",High-risk clause family.
DT_056,REVIEW,P3 / P4,Origin select,Engineered fill unknown / external provenance variants,origin = unknown or verified by outside letter,When provenance is unknown or when a subdivision-specific external verification letter is being relied upon,Append / review,CL_030; CL_037,,Keep branch in scope but flagged. Use the unknown-contact-developer wording or a special verified-by-others clause only after review.,May also affect whether P4 recommendation proceeds normally.,Yes,Should these remain automated clauses or become stop-and-review prompts?,These branches rely on outside documentation and are not core daily flow.
DT_074,REVIEW,P4,Derived from as-constructed mode,As-constructed house adequacy - 24 inch / walls+footing family,24in or walls+footing special case,When the rarer as-constructed variants are selected,Replace / review,CL_019; CL_047,,"Keep the branch in scope, but require review until exact wording/dimensions are confirmed.",May affect P5 or high-plastic warning placement.,Yes,Confirm the exact wording and whether all special as-constructed branches should stay in first-release UI.,Rarer branches; source not fully normalized.
DT_075,REVIEW,P4,Derived add-on,Spread footing sentence - 140 kPa family,140 kPa / 2900 psf,When the 140 kPa spread-footing family is the current office default,Append,CL_005; CL_045,,Append 140 kPa spread-footing sentence to P4.,Competes with 100 kPa alternative if that remains active.,Yes,Confirm whether 140 kPa is always the current default for V1.,Example letter uses 140 kPa.
